id,label,count,x,y,data,group
114,saveourforest,1,0.30096877212453255,0.31125422673425557,,
115,saveourearth,1,0.2958130891383312,0.3385375030218485,,
117,rainforest,1,0.30004869093162445,0.34155850510765984,,
119,deforestation,1,0.29763752240980645,0.3406542294436662,,
120,actonclimate,1,0.30317593561160844,0.34083185564607305,,
122,reforestation,1,0.303259980087476,0.3373901411059942,,
123,igers_all_americas,1,0.2802450770146198,0.3559069065627741,,
124,escobarmora,1,0.28333380415250103,0.35064666707327424,,
125,igerscolombia,1,0.2812661259590237,0.35329778204014534,,
126,latinamerica,1,0.283063463011192,0.3487437518799123,,
127,everydaylatinamerica,1,0.27967489159010717,0.3541020729067814,,
128,mobilephotography,1,0.28134414416282094,0.3582184171763893,,
130,everydaymacondo,1,0.2820790060298162,0.3614120380182033,,
